note,lang
Pronunciation: Foon-Doe-Cham-bAH,en
"concord grape and black cherry, swimming in a sweet, syrupy body",en
"We taste dark-fruit notes of concord grape and black cherry, swimming in a sweet, syrupy body",en
Pronunciation: EZ-gar fair-NAHN-dez,en
"blackberry, stone fruit, and clementine",en
"Nueva Llusta (Bolivia) A washed processed coffee with a lovely hint of sweet cherry, and toasted vanilla and hazelnut.",en
"fig and strawberry, and a bright, balanced acidity",en
"sweet cherry, and toasted vanilla and hazelnut",en
"Nueva Llusta (Bolivia) A washed processed coffee with a lovely hint of sweet cherry, and toasted vanilla and hazelnut",en
We love this coffee for its dried apricot-like fruit tones layered over a cozy chocolate and toasted almond base,en
"The cup is big-bodied and syrupy, with layers of cocoa and dark cherry",en
"The result is a coffee with enhanced fruit complexity in the cup, bringing out a candied pineapple sweetness that is balanced by juicy, blood orange–like acidity",en
Pronunciation: el BWEHN pah-STOR,en
"marzipan and cocoa, underpinned by subtle flavors of stone fruit",en
"During harvesting, thorough attention paid to cherry ripeness and slow drying results in a clean cup and complex range of fruits–most notably, sweet concord grape and juicy strawberry",en
"” From this Gesha, farm owners Max & Claudia utilized three distinct processing techniques–washed, honey, and natural sundried–to highlight the full range of complex, nuanced flavors",en
black cherry and white grape,en
Pronunciation: mah-BOH-noh,en
"blood orange, cherry, and dark chocolate",en
"Expect notes of blood orange, cherry, and dark chocolate",en
Pronunciation: FEEN-kah el PWEHN-teh HUN-ee,en
"almond butter, strawberry preserves, and orange zest",en
"Look for notes of almond butter, strawberry preserves, and orange zest",en
This coffee exhibits flavors of apricot and kiwi balanced with milk chocolate sweetness,en
"Morning, noon, and night, Decaf Idido sings with flavors of apricot, citrus, and brown sugar",en
"Their SL-28 is among the finest expressions we’ve tasted outside Africa: beautifully balanced yet wonderfully complex, with green apple sweetness, mouth-watering lime, and a crisp, clean finish",en
"The bag design features the national birds of Guatemala and India, the Resplendent Quetzal and the Indian Peafowl, respectively.",en
"praline, brown sugar, and apple, Sanctuary is as delicious as it is purposeful—a tribute to Fred’s vision",en
"Look for flavors of plum and apple, wrapped in a syrupy body",en
"sweet tea, with layers of cherry and cocoa nibs",en
"The blend is bright and refreshing, reminiscent of sweet tea, with layers of cherry and cocoa nibs",en
Pronunciation: Are-NOOL-foh DEE-ahs,en
brown sugar and red grape,en
"With bright citrus notes and a delicate floral finish, our year-round favorite, Apollo, truly shines over ice",en
